,0,1,2,3,4,5,6,7,8,9
137,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
138,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
139,1.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,-0.0
140,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
141,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
142,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0
143,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,-0.0,1.0
144,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
145,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,-0.0
146,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0
147,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
148,2.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0
149,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0
150,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0
151,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0
152,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
153,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
154,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
155,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,-0.0
156,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0
157,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
158,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
159,-0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0
160,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
161,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0
162,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0
163,1.0,2.0,2.0,1.0,2.0,2.0,-0.0,3.0,2.0,0.0
164,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0
165,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
166,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
167,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0
168,0.0,3.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0
