,0,1,2,3,4,5,6,7,8,9
258,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0
259,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
260,1.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,-0.0
261,-0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
262,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
263,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
264,-0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
265,-0.0,1.0,-0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0
266,1.0,3.0,-0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0
267,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0
268,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0
269,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0
270,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0
271,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0
272,1.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,2.0
273,3.0,2.0,1.0,1.0,-0.0,2.0,0.0,2.0,2.0,1.0
274,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,-0.0,1.0
275,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,-0.0
276,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
277,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
278,1.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,-0.0,2.0
279,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
280,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0
281,3.0,2.0,1.0,0.0,-0.0,1.0,1.0,2.0,1.0,2.0
282,2.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,-0.0,0.0
283,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
284,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,-0.0
285,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
286,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
287,2.0,2.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,2.0
288,2.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,-0.0
289,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0
290,1.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
291,0.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
292,1.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0
293,1.0,3.0,4.0,-0.0,2.0,-0.0,1.0,2.0,0.0,2.0
294,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,-0.0
295,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0
296,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
297,1.0,2.0,0.0,1.0,2.0,1.0,2.0,3.0,-0.0,2.0
298,1.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
299,1.0,3.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0
300,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
301,0.0,1.0,2.0,1.0,1.0,2.0,-0.0,1.0,0.0,2.0
302,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
303,1.0,2.0,1.0,2.0,-0.0,1.0,1.0,2.0,2.0,-0.0
304,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,-0.0
305,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
306,3.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,-0.0,3.0
307,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
308,2.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0
309,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0
310,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-0.0
311,0.0,1.0,-0.0,1.0,1.0,2.0,-0.0,1.0,2.0,-0.0
